#OK
#SQL= select fofId, x, y, z, np from MDR1..FOF f  
#	where f.x between 450 and 550 
#	and f.y between 450 and 550
#	and f.z between 450 and 550
#	and snapnum = 85 
#MAXROWS UNLIMITED
#QUERYTIMEOUT 2400 sec
#DATE 2013-10-04 15:35:28.519 CEST
#QUERYTIME 59 millisec
#COLUMN 1 name=fofId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=np JDBC_TYPE=4 JDBC_TYPENAME=int
fofId,x,y,z,np
85004067166,470.1296,488.1657,453.7776,97
85004067172,466.9273,458.2188,467.9575,97
85004067178,484.9796,475.6507,482.2764,97
85004067185,495.2965,472.7635,466.9004,97
85004101514,491.5131,497.3008,482.563,96
85004101515,491.0432,498.3292,482.7973,96
85004105970,482.3414,451.0542,450.7742,96
85004105973,479.9124,483.6412,456.5351,96
85004105974,486.5229,474.3727,460.324,96
85004105977,469.679,470.1046,462.112,96
85004105998,498.4102,457.531,494.5062,96
85004106002,499.7931,490.9148,481.525,96
85004141563,473.5448,492.5261,455.1038,95
85004145842,489.9055,475.1018,462.4052,95
85004145849,461.2547,457.8147,474.1458,95
85004182079,498.609,497.0389,452.0588,94
85004186241,489.6123,482.5672,464.2013,94
85004186251,461.343,465.5197,466.1007,94
85004186253,488.4278,464.6925,467.0659,94
85004186258,475.1958,450.4969,496.175,94
85004186265,491.0236,475.3396,482.2709,94
85004186271,492.4331,475.9886,481.8206,94
85004186275,482.3658,485.7145,497.3394,94
85004186278,482.5189,493.283,452.8947,94
85004218522,486.3344,460.8615,450.437,93
85004222692,491.3876,497.9843,483.0671,93
85004223103,477.779,494.6975,453.3263,93
85004227446,469.2721,468.5157,451.9426,93
85004227447,498.8496,469.8158,451.3076,93
85004227451,490.7678,475.1947,462.881,93
85004227460,462.9327,458.5717,472.2012,93
85004260382,457.132,465.9718,450.4412,92
85004269574,476.0648,475.4568,453.6264,92
85004269594,484.8215,472.1543,490.8176,92
85004269605,451.3771,460.0355,464.7717,92
85004269606,488.8868,489.906,453.1013,92
85004269608,482.9753,488.4893,454.7313,92
85004308437,477.2432,491.3686,453.4207,91
85004313039,487.6572,470.4488,460.0854,91
85004313044,453.3152,458.0273,461.7051,91
85004313053,452.2166,458.8473,467.2093,91
85004313057,478.2742,470.2192,498.8457,91
85004313066,490.9914,483.7217,465.5491,91
85004313068,479.4096,491.5453,486.4037,91
85004313069,469.1684,489.6139,451.6175,91
85004352623,487.071,497.9543,450.1303,90
85004356670,488.9422,470.5999,458.9711,90
85004356671,477.8546,481.2444,455.9073,90
85004356672,496.018,473.6742,459.1665,90
85004356676,486.0598,476.8306,461.531,90
85004356684,489.3011,465.0798,480.9257,90
85004356692,481.4029,489.0818,471.0956,90
85004396553,480.178,494.8215,452.1473,89
85004401151,488.3378,475.8248,462.087,89
85004401173,468.8389,490.7365,451.0409,89
